index,model,folds,class,test_set_precision,test_set_recall,test_set_micro_precision,test_set_micro_recall,test_accuracy,validation_set_precision,validation_set_recall,validation_set_micro_precision,validation_set_micro_recall,validation_accuracy
76,MLP Default: Derived Dataset 1,4,sport,0.9411651583710408,0.9056603773584906,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.9126353276353276,0.8867924528301887,0.8488926927477362,0.8488926927477362,0.8488926927477362
77,MLP Default: Derived Dataset 1,4,style,0.0,0.0,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.25,0.0625,0.8488926927477362,0.8488926927477362,0.8488926927477362
78,MLP Default: Derived Dataset 1,4,travel,0.0,0.0,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.625,0.25,0.8488926927477362,0.8488926927477362,0.8488926927477362
79,MLP Default: Derived Dataset 1,4,us,0.7689415644989339,0.7923076923076923,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.686608322391272,0.6733774038461539,0.8488926927477362,0.8488926927477362,0.8488926927477362
80,MLP Default: Derived Dataset 1,4,weather,0.7658514492753623,0.782608695652174,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.8517727743271221,0.8849637681159419,0.8488926927477362,0.8488926927477362,0.8488926927477362
81,MLP Default: Derived Dataset 1,4,world,0.7815166610379376,0.8675595238095238,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.816772556212898,0.8998342600513258,0.8488926927477362,0.8488926927477362,0.8488926927477362
82,MLP Default: Derived Dataset 1,4,macro avg,0.6128604802830576,0.6097721204975626,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.7394057530072062,0.6615235822488476,0.8488926927477362,0.8488926927477362,0.8488926927477362
83,MLP Default: Derived Dataset 1,4,weighted avg,0.8187343419142705,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.8435028106925049,0.8488926927477362,0.8488926927477362,0.8488926927477362,0.8488926927477362
84,MLP Default: Derived Dataset 2,4,business,0.8613127725301233,0.8955026455026455,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.9054767539297257,0.9220133667502088,0.848284050695781,0.848284050695781,0.848284050695781
85,MLP Default: Derived Dataset 2,4,cnn,0.0,0.0,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.5,0.25,0.848284050695781,0.848284050695781,0.848284050695781
86,MLP Default: Derived Dataset 2,4,entertainment,0.7767739613327849,0.5603448275862069,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.8346698872785829,0.7327586206896552,0.848284050695781,0.848284050695781,0.848284050695781
87,MLP Default: Derived Dataset 2,4,health,0.8235670731707316,0.9518348623853211,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.8832539216684535,0.96128023352794,0.848284050695781,0.848284050695781,0.848284050695781
88,MLP Default: Derived Dataset 2,4,opinions,0.656185974389756,0.5158730158730158,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.750498393507908,0.5022401433691757,0.848284050695781,0.848284050695781,0.848284050695781
89,MLP Default: Derived Dataset 2,4,politics,0.800290027515431,0.817391304347826,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.8321229677152506,0.8698088455772114,0.848284050695781,0.848284050695781,0.848284050695781
90,MLP Default: Derived Dataset 2,4,sport,0.956748188405797,0.839622641509434,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.8943001366003587,0.8773584905660377,0.848284050695781,0.848284050695781,0.848284050695781
91,MLP Default: Derived Dataset 2,4,style,0.0,0.0,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.0,0.0,0.848284050695781,0.848284050695781,0.848284050695781
92,MLP Default: Derived Dataset 2,4,travel,0.0,0.0,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.75,0.25,0.848284050695781,0.848284050695781,0.848284050695781
93,MLP Default: Derived Dataset 2,4,us,0.8273999177758363,0.7461538461538462,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.7453116457080371,0.6887620192307693,0.848284050695781,0.848284050695781,0.848284050695781
94,MLP Default: Derived Dataset 2,4,weather,0.8585227272727273,0.8369565217391304,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.8251048951048952,0.8206521739130435,0.848284050695781,0.848284050695781,0.848284050695781
95,MLP Default: Derived Dataset 2,4,world,0.8130886205354291,0.8928571428571428,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.8267184970383369,0.9163191474194468,0.848284050695781,0.848284050695781,0.848284050695781
96,MLP Default: Derived Dataset 2,4,macro avg,0.614490771910718,0.5880447339962142,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.728954758212629,0.649266086753624,0.848284050695781,0.848284050695781,0.848284050695781
97,MLP Default: Derived Dataset 2,4,weighted avg,0.8132320765874173,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.8238153098420413,0.8410436989008352,0.848284050695781,0.848284050695781,0.848284050695781,0.848284050695781
98,MLP Default: Derived Dataset 3,4,business,0.9226171273307603,0.9259259259259259,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.9288311003775899,0.94578111946533,0.8583183297709112,0.8583183297709112,0.8583183297709112
99,MLP Default: Derived Dataset 3,4,cnn,0.0,0.0,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.5,0.25,0.8583183297709112,0.8583183297709112,0.8583183297709112
100,MLP Default: Derived Dataset 3,4,entertainment,0.7792126931417729,0.8362068965517242,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8024553571428572,0.8017241379310345,0.8583183297709112,0.8583183297709112,0.8583183297709112
101,MLP Default: Derived Dataset 3,4,health,0.8277765376984126,0.9587155963302754,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8959012862447295,0.9567139282735613,0.8583183297709112,0.8583183297709112,0.8583183297709112
102,MLP Default: Derived Dataset 3,4,opinions,0.7016707059248183,0.47619047619047616,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.7737242332830568,0.47395033282130056,0.8583183297709112,0.8583183297709112,0.8583183297709112
103,MLP Default: Derived Dataset 3,4,politics,0.83757055302523,0.8065217391304348,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8347603693251673,0.882852323838081,0.8583183297709112,0.8583183297709112,0.8583183297709112
104,MLP Default: Derived Dataset 3,4,sport,0.9555649182750023,0.9056603773584906,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.9160309991810913,0.9198113207547169,0.8583183297709112,0.8583183297709112,0.8583183297709112
105,MLP Default: Derived Dataset 3,4,style,0.0,0.0,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.0,0.0,0.8583183297709112,0.8583183297709112,0.8583183297709112
106,MLP Default: Derived Dataset 3,4,travel,0.0,0.0,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.625,0.25,0.8583183297709112,0.8583183297709112,0.8583183297709112
107,MLP Default: Derived Dataset 3,4,us,0.8159070655098197,0.7807692307692308,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.737813220389217,0.6888221153846154,0.8583183297709112,0.8583183297709112,0.8583183297709112
108,MLP Default: Derived Dataset 3,4,weather,0.8849378881987577,0.8369565217391305,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8287256852343059,0.9057971014492754,0.8583183297709112,0.8583183297709112,0.8583183297709112
109,MLP Default: Derived Dataset 3,4,world,0.81122893794687,0.9077380952380952,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8343037497644621,0.9058222840034217,0.8583183297709112,0.8583183297709112,0.8583183297709112
110,MLP Default: Derived Dataset 3,4,macro avg,0.6280405355876203,0.6195570716028151,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.7231288334118731,0.6651062219934447,0.8583183297709112,0.8583183297709112,0.8583183297709112
111,MLP Default: Derived Dataset 3,4,weighted avg,0.8360197433502747,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8510899326455656,0.8583183297709112,0.8583183297709112,0.8583183297709112,0.8583183297709112
112,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,business,0.9194202435463729,0.9206349206349205,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.9292742212155167,0.9352199944305207,0.8558867179300701,0.8558867179300701,0.8558867179300701
113,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,cnn,0.0,0.0,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.25,0.25,0.8558867179300701,0.8558867179300701,0.8558867179300701
114,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,entertainment,0.8050611790878754,0.8189655172413792,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.7209434618441971,0.8275862068965517,0.8558867179300701,0.8558867179300701,0.8558867179300701
115,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,health,0.8313546376321266,0.9472477064220184,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.9101686213167952,0.9430358632193494,0.8558867179300701,0.8558867179300701,0.8558867179300701
